ID,category_A,category_B,category_C,category_D,category_E,category_F
QCT1000000001,0,0,0,0,0,0
QCT1000000002,0,0,0,0,0,0
QCT1000000003,0,0,0,0,0,0
QCT1000000004,1,1,1,1,1,1
QCT1000000005,0,0,0,0,0,0
QCT1000000006,0,0,0,0,0,0
QCT1000000007,0,0,0,0,0,0
QCT1000000008,0,0,0,0,0,0
QCT1000000009,0,0,0,0,0,0
QCT1000000010,0,0,0,0,0,0
QCT1000000011,0,0,0,0,0,0
QCT1000000012,0,0,0,0,0,0
QCT1000000013,0,0,0,0,0,0
QCT1000000014,0,0,0,0,0,0
QCT1000000015,0,0,0,0,0,0
QCT1000000016,0,0,0,0,0,0
QCT1000000017,0,0,0,0,0,0
QCT1000000018,0,0,0,0,0,0
QCT1000000019,0,0,0,0,0,0
QCT1000000020,0,0,0,0,0,0
QCT1000000021,0,0,0,0,0,0
QCT1000000022,0,0,0,0,0,0
QCT1000000023,0,0,0,0,0,0
QCT1000000024,0,0,0,0,0,0
QCT1000000025,0,0,0,0,0,0
QCT1000000026,0,0,0,0,0,0
QCT1000000027,0,0,0,0,0,0
QCT1000000028,0,0,0,0,0,0
QCT1000000029,0,0,0,0,0,0
QCT1000000030,0,0,0,0,0,0
QCT1000000031,0,0,0,0,0,0
QCT1000000032,0,0,0,0,0,0
QCT1000000033,0,0,0,0,0,0
QCT1000000034,0,0,0,0,0,0
QCT1000000035,0,0,0,0,0,0
QCT1000000036,1,1,1,1,1,1
QCT1000000037,0,0,0,0,0,0
QCT1000000038,0,0,0,0,0,0
QCT1000000039,0,0,0,0,0,0
QCT1000000040,0,0,0,0,0,0
QCT1000000041,0,0,0,0,0,0
QCT1000000042,0,0,0,0,0,0
QCT1000000043,0,0,0,0,0,0
QCT1000000044,0,0,0,0,0,0
QCT1000000045,0,0,0,0,0,0
QCT1000000046,0,0,0,0,0,0
QCT1000000047,0,0,0,0,0,0
QCT1000000048,0,0,0,0,0,0
QCT1000000049,0,0,0,0,0,0
QCT1000000050,1,1,1,1,1,1
QCT1000000051,0,0,0,0,0,0
QCT1000000052,0,0,0,0,0,0
QCT1000000053,1,1,1,1,1,1
QCT1000000054,0,0,0,0,0,0
QCT1000000055,0,0,0,0,0,0
QCT1000000056,0,0,0,0,0,0
QCT1000000057,0,0,0,0,0,0
QCT1000000058,0,0,0,0,0,0
QCT1000000059,0,0,0,0,0,0
QCT1000000060,1,1,1,1,1,1
QCT1000000061,1,1,1,1,1,1
QCT1000000062,0,0,0,0,0,0
QCT1000000063,0,0,0,0,0,0
QCT1000000064,0,0,0,0,0,0
QCT1000000065,1,1,1,1,1,1
QCT1000000066,0,0,0,0,0,0
QCT1000000067,0,0,0,0,0,0
QCT1000000068,0,0,0,0,0,0
QCT1000000069,0,0,0,0,0,0
QCT1000000070,0,0,0,0,0,0
QCT1000000071,0,0,0,0,0,0
QCT1000000072,0,0,0,0,0,0
QCT1000000073,0,0,0,0,0,0
QCT1000000074,1,1,1,1,1,1
QCT1000000075,0,0,0,0,0,0
QCT1000000076,0,0,0,0,0,0
QCT1000000077,0,0,0,0,0,0
QCT1000000078,0,0,0,0,0,0
QCT1000000079,0,0,0,0,0,0
QCT1000000080,0,0,0,0,0,0
QCT1000000081,0,0,0,0,0,0
QCT1000000082,0,0,0,0,0,0
QCT1000000083,0,0,0,0,0,0
QCT1000000084,0,0,0,0,0,0
QCT1000000085,0,0,0,0,0,0
QCT1000000086,0,0,0,0,0,0
QCT1000000087,0,0,0,0,0,0
